plate	sample_fp	well	cycle	channel
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	2	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA2_ChannelA594_30p_Seq0007.nd2	A2	3	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA2_ChannelCY3_30p_Seq0001.nd2	A2	3	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA2_ChannelCY5_30p_Seq0013.nd2	A2	3	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	3	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA2_ChannelA594_30p_Seq0007.nd2	A2	4	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA2_ChannelCY3_30p_Seq0001.nd2	A2	4	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA2_ChannelCY5_30p_Seq0013.nd2	A2	4	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	4	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA2_ChannelA594_30p_Seq0007.nd2	A2	5	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA2_ChannelCY3_30p_Seq0001.nd2	A2	5	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA2_ChannelCY5_30p_Seq0013.nd2	A2	5	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	5	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA2_ChannelA594_30p_Seq0007.nd2	A2	6	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA2_ChannelCY3_30p_Seq0001.nd2	A2	6	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA2_ChannelCY5_30p_Seq0013.nd2	A2	6	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c6/20220706_182722_626/WellA2_ChannelCY7_30p_Seq0019.nd2	A2	6	CY7_30p
